Name,City,Country,Phone #,Status
Portátiles Altamira,Managua,Nicaragua,50583515439,Sent
Innova Ventas,Managua,Nicaragua,50584359654,Sent
Mundo Laptop,Managua,Nicaragua,50583229183,Sent
Computachiong,Managua,Nicaragua,50584862311,Sent
Laptop Services,Managua,Nicaragua,50586342616,Sent
Pc Nic Store,Managua,Nicaragua,50587683130,Sent
El Gringo Loco,Managua,Nicaragua,50585213506,Sent
Taller De Refrigeración Agustín Gutiérrez,Granada,Nicaragua,50588813819,Sent
Servicios Industriales De Refrigeración Y Electromecánica,Granada,Nicaragua,50589879425,Sent
Punto Frio Granada,Granada,Nicaragua,50576524335,Sent
Taller De Refrigeración Roberto Galo,Granada,Nicaragua,50588878771,Sent
Nb Technology,Tipitapa,Nicaragua,50575456251,Sent
Tienda Tipicel,Tipitapa,Nicaragua,50583666685,Sent
Celulares Mac,Tipitapa,Nicaragua,50583273755,Sent
World Gym Granada,Granada,Nicaragua,50578125937,Sent
Gimnasio Miryam,Granada,Nicaragua,50588174723,Sent
La Fitness,Granada,Nicaragua,50558733999,Sent
Taller Eléctrico Automotriz Jimenez,Masaya,Nicaragua,50575369276,Sent
Taller Electrico Automotriz Calero Jim,Masaya,Nicaragua,50578889891,Sent
Portátiles,León,Nicaragua,50583515439,Sent
Tecno Pro,León,Nicaragua,50557338263,Sent
Taller Del Maestro Pc,León,Nicaragua,50589421013,Sent
Universal Computers León,León,Nicaragua,50558869081,Sent
Galaxia Movil,León,Nicaragua,50557727071,Sent
Pcdiaz,León,Nicaragua,50586133609,Sent
Playhard,León,Nicaragua,50584366624,Sent
Soltecomp,León,Nicaragua,50586682389,Sent
Laptop Rizos,León,Nicaragua,50575366141,Sent
Clínica De Ortodoncia,Estelí,Nicaragua,50588332765,Sent
Centro Dental Del Norte,Estelí,Nicaragua,50589077526,Sent
Clínica Dental Rivera,Estelí,Nicaragua,50578140680,Sent
Altamira Dental Estelí,Estelí,Nicaragua,50555042910,Sent
Clinica Prodentix Oral Center,Estelí,Nicaragua,50586101217,Sent
Clínica Dental Divino Niño,Estelí,Nicaragua,50586428183,Sent
Clinica Dental La Muelita,Estelí,Nicaragua,50588312720,Sent
Clinica Dental Sinaí,Estelí,Nicaragua,50588282656,Skipped
Clínica Dental Dra Katherine M Flores Osorio,Estelí,Nicaragua,50582172382,Sent
Reball Fix Center,Granada,Nicaragua,50584632474,Sent
Zontech,Granada,Nicaragua,50577933877,Skipped
Newtech,Granada,Nicaragua,50589477455,Sent
Repuesto Sarmiento,Masaya,Nicaragua,50588884701,Sent
Servicentro El Pacifico,Masaya,Nicaragua,50582720029,Sent
S&m Auto Repuestos,Masaya,Nicaragua,50589677861,Sent
Orthodental Masaya,Masaya,Nicaragua,50576162740,Sent
Clinica Odontológica Dentrex,Masaya,Nicaragua,50588256870,Sent
Clínica Dental Pediátrica,Masaya,Nicaragua,50583863175,Sent
Clinica Dental Quintanilla,Masaya,Nicaragua,50588620564,Sent
Clinica Dental Bella Sonrisa,Masaya,Nicaragua,50586534621,Sent
Dental Más,Masaya,Nicaragua,50557835075,Sent
Clinica Dental Montserrat,Masaya,Nicaragua,50558867345,Sent
Dental Solutions Gonroch,Masaya,Nicaragua,50583859512,Sent
Alfa Dental,Masaya,Nicaragua,50583770212,Sent
Clinica Odontologica Santa Clara,Masaya,Nicaragua,50588462350,Sent
Clínica Dental Cortez,Masaya,Nicaragua,50575200087,Sent
Saludent,Masaya,Nicaragua,50582270448,Sent
Clínica Dental Solorzano Valle,Masaya,Nicaragua,50558227116,Skipped
Nicadent Casa Matriz,Masaya,Nicaragua,50586791876,Skipped
Sonrisas Brillantes Clinica Dental,Masaya,Nicaragua,50581746478,Sent
Top Dental,Masaya,Nicaragua,50584606977,Sent
Repuestos González Esteli,Estelí,Nicaragua,50584255041,Sent
Moto Repuestos Tercero,Estelí,Nicaragua,50586035013,Sent
Comercial 2m,Estelí,Nicaragua,50589283418,Sent
Techparts Esteli,Estelí,Nicaragua,50583697896,Sent
Importadora Rugama,Estelí,Nicaragua,50589128878,Sent
Audio Lujos Car,Estelí,Nicaragua,50588526357,Sent
Autolote Del Norte,Estelí,Nicaragua,50587226674,Sent
Md Suministros,León,Nicaragua,50577470259,Sent
Ferreteria Lisseth,León,Nicaragua,50584734233,Sent
Electrocomponentes Leon,León,Nicaragua,50582057048,Sent
Materiales Eléctricos Morales,León,Nicaragua,50588816109,Sent
M&r Artículos Médicos,Managua,Nicaragua,50558315221,Sent
Repuestos Connor,León,Nicaragua,50578267235,Sent
Repuestos Automotrices Shalom,León,Nicaragua,50581619051,Sent
Servicios Y Repuestos Automotrices Santo Domingo,León,Nicaragua,50583229876,Skipped
Desarme Y Taller Automotriz El Maestro,León,Nicaragua,50577052291,Sent
Clínica Veterinaria Ean,León,Nicaragua,50588994202,Sent
Respuestas Veterinarias,León,Nicaragua,50578251822,Sent
Veterinaria Saenz,León,Nicaragua,50588517968,Sent
Veterinaria Bienestar Animal,León,Nicaragua,50557177850,Sent
Centro Veterinario El Ganadero,León,Nicaragua,50557071642,Skipped
Clínica Veterinaria Animal Space,León,Nicaragua,50557185418,Skipped
Veterinaria Amigo Fiel,León,Nicaragua,50557042248,Skipped
Veterinaria Ibi Vet,León,Nicaragua,50585896622,Sent
Clinica Veterinaria Leon Oeste,León,Nicaragua,50585537724,Skipped
Veterinaria El Rodeo,León,Nicaragua,50589027695,Skipped
Agro Veterinaria La Ternera,León,Nicaragua,50585309740,Sent
Fluffy Pets Belleza Y Salud,León,Nicaragua,50586971271,Sent
Veterinaria Ponces,León,Nicaragua,50557315369,Sent
Vaterinaria La Fé,León,Nicaragua,50586287117,Skipped
Veterinaria Dpr,León,Nicaragua,50586456019,Sent
Agro Veterinaria Midence,León,Nicaragua,50584565200,Skipped
Aprovet,León,Nicaragua,50583680592,Sent
Veterinaria Bms,León,Nicaragua,50583355168,Sent
Veterinaria Clinimar,León,Nicaragua,50583254292,Sent
Animalword,León,Nicaragua,50584559600,Sent
Pc Raps,Tipitapa,Nicaragua,50578454909,Sent
Soluciones Kenp Tech,Tipitapa,Nicaragua,50588566863,Sent
Super Desarme Automotriz,Managua,Nicaragua,50557289502,Sent
Repuestos Ezequiel Morales,Managua,Nicaragua,50582402996,Skipped
Lubricantes El Cambio,Managua,Nicaragua,50588563212,Skipped
Repuestos Medinas,Managua,Nicaragua,50589880115,Sent
Imperio Racing Cars,Managua,Nicaragua,50587962965,Sent
Bicicleta Y Repuestos,Managua,Nicaragua,50588894048,Sent
Repuestazo,Managua,Nicaragua,50588394245,Sent
Autolote Usa2 Managua,Managua,Nicaragua,50582498633,Sent
Venta De Repuestos Manuel Robleto,Managua,Nicaragua,50588983014,Skipped
Repuestos Y Accesorios Daniel,Managua,Nicaragua,50588837825,Sent
Desarme Automotriz,Managua,Nicaragua,50587225898,Sent
Autolote El Eden,Managua,Nicaragua,50588744113,Sent
Fauna Clinica Veterinaria,Estelí,Nicaragua,50587292013,Sent
Veterinaria Las Mascotas,Estelí,Nicaragua,50588357850,Sent
Centro Médico Veterinario,Estelí,Nicaragua,50586438989,Sent
Veterinaria San Francisco De Asís,Estelí,Nicaragua,50584418654,Sent
Veterinaria El Arca,Estelí,Nicaragua,50558722851,Sent
Agroveterinaria San Isidro Labrador,Estelí,Nicaragua,50585320356,Sent
Clínica Veterinaria Petlovers,Estelí,Nicaragua,50584037547,Sent
Veterinaria Casa Animal,Estelí,Nicaragua,50557997981,Sent
Veterinaria El Ganadero,Estelí,Nicaragua,50576029028,Skipped
Vetnorte,Estelí,Nicaragua,50557244423,Sent
Nucleovet Estelí,Estelí,Nicaragua,50581626863,Sent
Veterinaria X Mascot,Estelí,Nicaragua,50589137114,Sent
Pet House,Estelí,Nicaragua,50589242703,Sent
Veterinaria Vet Salud Clinic,Estelí,Nicaragua,50582235107,Sent
Veterinaria Galarza - Purina Estelí,Estelí,Nicaragua,50585208713,Sent
Pet Grooming Center Estelí,Estelí,Nicaragua,50588582699,Sent
Mascoshop,Estelí,Nicaragua,50588208241,Sent
Huellitas Consentidas,Estelí,Nicaragua,50557831830,Sent
Shasmi Pet,Estelí,Nicaragua,50557951939,Sent
Veterinaria Contreras,Estelí,Nicaragua,50584174557,Sent
Medic Uniforme Esteli,Estelí,Nicaragua,50589439242,Sent
Clinica Dental González,Estelí,Nicaragua,50557442294,Sent
Clinica Dental Restaurando Sonrisas,Estelí,Nicaragua,50586535758,Sent
Clínica Dental Familiar Dra Morena Vásquez Sandoval,Estelí,Nicaragua,50587357260,Sent
Clínica Dental Sonrisas Para Mi Pueblo,Estelí,Nicaragua,50582114188,Sent
Clínica Dental Sonrisas,Estelí,Nicaragua,50582114188,Sent
Clínica Biodent,Estelí,Nicaragua,50586499208,Skipped
Clínica Dental Royal Dent,Estelí,Nicaragua,50586603138,Sent
Clínica Dentisalud,Estelí,Nicaragua,50557224166,Sent
Clinica Dental Espinoza,Estelí,Nicaragua,50583381005,Sent
Clínica Dental Guadalupe,Estelí,Nicaragua,50584429231,Sent
Dental Health Center Estelí,Estelí,Nicaragua,50584007267,Sent
