Name,City,Country,Phone #,Status
Portátiles Altamira,Managua,Nicaragua,50583515439,Sent
Innova Ventas,Managua,Nicaragua,50584359654,Sent
Mundo Laptop,Managua,Nicaragua,50583229183,
Computachiong,Managua,Nicaragua,50584862311,
Laptop Services,Managua,Nicaragua,50586342616,
Pc Nic Store,Managua,Nicaragua,50587683130,
El Gringo Loco,Managua,Nicaragua,50585213506,
Taller De Refrigeración Agustín Gutiérrez,Granada,Nicaragua,50588813819,
Servicios Industriales De Refrigeración Y Electromecánica,Granada,Nicaragua,50589879425,
Punto Frio Granada,Granada,Nicaragua,50576524335,
Taller De Refrigeración Roberto Galo,Granada,Nicaragua,50588878771,
Nb Technology,Tipitapa,Nicaragua,50575456251,
Tienda Tipicel,Tipitapa,Nicaragua,50583666685,
Celulares Mac,Tipitapa,Nicaragua,50583273755,
World Gym Granada,Granada,Nicaragua,50578125937,
Gimnasio Miryam,Granada,Nicaragua,50588174723,
La Fitness,Granada,Nicaragua,50558733999,
Taller Eléctrico Automotriz Jimenez,Masaya,Nicaragua,50575369276,
Taller Electrico Automotriz Calero Jim,Masaya,Nicaragua,50578889891,
Portátiles,León,Nicaragua,50583515439,
Tecno Pro,León,Nicaragua,50557338263,
Taller Del Maestro Pc,León,Nicaragua,50589421013,
Universal Computers León,León,Nicaragua,50558869081,
Galaxia Movil,León,Nicaragua,50557727071,
Pcdiaz,León,Nicaragua,50586133609,
Playhard,León,Nicaragua,50584366624,
Soltecomp,León,Nicaragua,50586682389,
Laptop Rizos,León,Nicaragua,50575366141,
Clínica De Ortodoncia,Estelí,Nicaragua,50588332765,
Centro Dental Del Norte,Estelí,Nicaragua,50589077526,
Clínica Dental Rivera,Estelí,Nicaragua,50578140680,
Altamira Dental Estelí,Estelí,Nicaragua,50555042910,
Clinica Prodentix Oral Center,Estelí,Nicaragua,50586101217,
Clínica Dental Divino Niño,Estelí,Nicaragua,50586428183,
Clinica Dental La Muelita,Estelí,Nicaragua,50588312720,
Clinica Dental Sinaí,Estelí,Nicaragua,50588282656,Skipped
Clínica Dental Dra Katherine M Flores Osorio,Estelí,Nicaragua,50582172382,
Reball Fix Center,Granada,Nicaragua,50584632474,
Zontech,Granada,Nicaragua,50577933877,Skipped
Newtech,Granada,Nicaragua,50589477455,
Repuesto Sarmiento,Masaya,Nicaragua,50588884701,
Servicentro El Pacifico,Masaya,Nicaragua,50582720029,
S&m Auto Repuestos,Masaya,Nicaragua,50589677861,
Orthodental Masaya,Masaya,Nicaragua,50576162740,
Clinica Odontológica Dentrex,Masaya,Nicaragua,50588256870,
Clínica Dental Pediátrica,Masaya,Nicaragua,50583863175,
Clinica Dental Quintanilla,Masaya,Nicaragua,50588620564,
Clinica Dental Bella Sonrisa,Masaya,Nicaragua,50586534621,
Dental Más,Masaya,Nicaragua,50557835075,
Clinica Dental Montserrat,Masaya,Nicaragua,50558867345,
Dental Solutions Gonroch,Masaya,Nicaragua,50583859512,
Alfa Dental,Masaya,Nicaragua,50583770212,
Clinica Odontologica Santa Clara,Masaya,Nicaragua,50588462350,
Clínica Dental Cortez,Masaya,Nicaragua,50575200087,
Saludent,Masaya,Nicaragua,50582270448,
Clínica Dental Solorzano Valle,Masaya,Nicaragua,50558227116,Skipped
Nicadent Casa Matriz,Masaya,Nicaragua,50586791876,Skipped
Sonrisas Brillantes Clinica Dental,Masaya,Nicaragua,50581746478,
Top Dental,Masaya,Nicaragua,50584606977,
Repuestos González Esteli,Estelí,Nicaragua,50584255041,
Moto Repuestos Tercero,Estelí,Nicaragua,50586035013,
Comercial 2m,Estelí,Nicaragua,50589283418,
Techparts Esteli,Estelí,Nicaragua,50583697896,
Importadora Rugama,Estelí,Nicaragua,50589128878,
Audio Lujos Car,Estelí,Nicaragua,50588526357,
Autolote Del Norte,Estelí,Nicaragua,50587226674,
Md Suministros,León,Nicaragua,50577470259,
Ferreteria Lisseth,León,Nicaragua,50584734233,
Electrocomponentes Leon,León,Nicaragua,50582057048,
Materiales Eléctricos Morales,León,Nicaragua,50588816109,
M&r Artículos Médicos,Managua,Nicaragua,50558315221,
Repuestos Connor,León,Nicaragua,50578267235,
Repuestos Automotrices Shalom,León,Nicaragua,50581619051,
Servicios Y Repuestos Automotrices Santo Domingo,León,Nicaragua,50583229876,Skipped
Desarme Y Taller Automotriz El Maestro,León,Nicaragua,50577052291,
Clínica Veterinaria Ean,León,Nicaragua,50588994202,
Respuestas Veterinarias,León,Nicaragua,50578251822,
Veterinaria Saenz,León,Nicaragua,50588517968,
Veterinaria Bienestar Animal,León,Nicaragua,50557177850,
Centro Veterinario El Ganadero,León,Nicaragua,50557071642,Skipped
Clínica Veterinaria Animal Space,León,Nicaragua,50557185418,Skipped
Veterinaria Amigo Fiel,León,Nicaragua,50557042248,Skipped
Veterinaria Ibi Vet,León,Nicaragua,50585896622,
Clinica Veterinaria Leon Oeste,León,Nicaragua,50585537724,Skipped
Veterinaria El Rodeo,León,Nicaragua,50589027695,Skipped
Agro Veterinaria La Ternera,León,Nicaragua,50585309740,
Fluffy Pets Belleza Y Salud,León,Nicaragua,50586971271,
Veterinaria Ponces,León,Nicaragua,50557315369,
Vaterinaria La Fé,León,Nicaragua,50586287117,Skipped
Veterinaria Dpr,León,Nicaragua,50586456019,
Agro Veterinaria Midence,León,Nicaragua,50584565200,Skipped
Aprovet,León,Nicaragua,50583680592,
Veterinaria Bms,León,Nicaragua,50583355168,
Veterinaria Clinimar,León,Nicaragua,50583254292,
Animalword,León,Nicaragua,50584559600,
Pc Raps,Tipitapa,Nicaragua,50578454909,
Soluciones Kenp Tech,Tipitapa,Nicaragua,50588566863,
Super Desarme Automotriz,Managua,Nicaragua,50557289502,
Repuestos Ezequiel Morales,Managua,Nicaragua,50582402996,Skipped
Lubricantes El Cambio,Managua,Nicaragua,50588563212,Skipped
Repuestos Medinas,Managua,Nicaragua,50589880115,
Imperio Racing Cars,Managua,Nicaragua,50587962965,
Bicicleta Y Repuestos,Managua,Nicaragua,50588894048,
Repuestazo,Managua,Nicaragua,50588394245,
Autolote Usa2 Managua,Managua,Nicaragua,50582498633,
Venta De Repuestos Manuel Robleto,Managua,Nicaragua,50588983014,Skipped
Repuestos Y Accesorios Daniel,Managua,Nicaragua,50588837825,
Desarme Automotriz,Managua,Nicaragua,50587225898,
Autolote El Eden,Managua,Nicaragua,50588744113,
Fauna Clinica Veterinaria,Estelí,Nicaragua,50587292013,
Veterinaria Las Mascotas,Estelí,Nicaragua,50588357850,
Centro Médico Veterinario,Estelí,Nicaragua,50586438989,
Veterinaria San Francisco De Asís,Estelí,Nicaragua,50584418654,
Veterinaria El Arca,Estelí,Nicaragua,50558722851,
Agroveterinaria San Isidro Labrador,Estelí,Nicaragua,50585320356,
Clínica Veterinaria Petlovers,Estelí,Nicaragua,50584037547,
Veterinaria Casa Animal,Estelí,Nicaragua,50557997981,
Veterinaria El Ganadero,Estelí,Nicaragua,50576029028,Skipped
Vetnorte,Estelí,Nicaragua,50557244423,
Nucleovet Estelí,Estelí,Nicaragua,50581626863,
Veterinaria X Mascot,Estelí,Nicaragua,50589137114,
Pet House,Estelí,Nicaragua,50589242703,
Veterinaria Vet Salud Clinic,Estelí,Nicaragua,50582235107,
Veterinaria Galarza - Purina Estelí,Estelí,Nicaragua,50585208713,
Pet Grooming Center Estelí,Estelí,Nicaragua,50588582699,
Mascoshop,Estelí,Nicaragua,50588208241,
Huellitas Consentidas,Estelí,Nicaragua,50557831830,
Shasmi Pet,Estelí,Nicaragua,50557951939,
Veterinaria Contreras,Estelí,Nicaragua,50584174557,
Medic Uniforme Esteli,Estelí,Nicaragua,50589439242,
Clinica Dental González,Estelí,Nicaragua,50557442294,
Clinica Dental Restaurando Sonrisas,Estelí,Nicaragua,50586535758,
Clínica Dental Familiar Dra Morena Vásquez Sandoval,Estelí,Nicaragua,50587357260,
Clínica Dental Sonrisas Para Mi Pueblo,Estelí,Nicaragua,50582114188,
Clínica Dental Sonrisas,Estelí,Nicaragua,50582114188,
Clínica Biodent,Estelí,Nicaragua,50586499208,Skipped
Clínica Dental Royal Dent,Estelí,Nicaragua,50586603138,
Clínica Dentisalud,Estelí,Nicaragua,50557224166,
Clinica Dental Espinoza,Estelí,Nicaragua,50583381005,
Clínica Dental Guadalupe,Estelí,Nicaragua,50584429231,
Dental Health Center Estelí,Estelí,Nicaragua,50584007267,
Clinica Dental Osorio,Estelí,Nicaragua,50582172382,
Clínica Dental Ebenezer,Estelí,Nicaragua,50584057504,
Dental Center,Estelí,Nicaragua,50555025083,
Duodent,Estelí,Nicaragua,50586239752,
Consultorio Odontomedico Esquipulas,Estelí,Nicaragua,50557251969,
Farmacia Y Clinica San Lucas,Estelí,Nicaragua,50585374844,
Floriandent,Estelí,Nicaragua,50583619880,
Clínica Medico Dental,Estelí,Nicaragua,50578195600,
Quiroz&quiroz Odontologia,Estelí,Nicaragua,50588432438,
Sonrisas Para Mi Pueblo,Estelí,Nicaragua,50585308386,
Clínica Dental Fe Y Familia,Estelí,Nicaragua,50586165169,
Clínica Odontomedica Meraki,Estelí,Nicaragua,50558399484,
